2016-01-27,-1.0
2016-01-28,-11.0
2016-01-29,-3.0
2016-01-30,-16.0
2016-02-03,12.0
2016-02-04,3.0
2016-02-05,14.0
2016-02-06,-6.0
2016-02-08,1.0
2016-02-09,-11.0
2016-02-10,11.0
2016-02-11,-8.0
2016-02-12,2.0
2016-02-13,-13.0
2016-02-15,-12.0
2016-02-16,9.0
2016-02-17,-1.0
2016-02-18,10.0
2016-02-19,-2.0
2016-02-20,5.0
2016-02-22,-12.0
2016-02-23,1.0
2016-02-24,-11.0
2016-02-25,18.0
2016-02-26,6.0
2016-02-27,15.0
2016-02-29,8.0
2016-03-01,4.0
2016-03-02,4.0
2016-03-03,-2.0
2016-03-04,-6.0
2016-03-05,-7.0
2016-03-07,4.0
2016-03-08,-8.0
2016-03-09,2.0
2016-03-10,10.0
2016-03-11,5.0
2016-03-12,2.0
2016-03-14,-12.0
2016-03-15,1.0
2016-03-16,4.0
2016-03-17,7.0
2016-03-18,2.0
2016-03-19,19.0
2016-03-22,6.0
2016-03-23,21.0
2016-03-24,2.0
2016-03-25,-1.0
2016-03-26,4.0
2016-03-27,-24.0
2016-03-28,-3.0
2016-03-29,-1.0
2016-03-30,0.0
2016-03-31,17.0
2016-04-01,-3.0
2016-04-02,-16.0
2016-04-04,3.0
2016-04-05,-7.0
2016-04-06,-12.0
2016-04-07,-18.0
2016-04-08,8.0
2016-04-09,18.0
2016-04-11,3.0
2016-04-12,3.0
2016-04-13,5.0
2016-04-14,-20.0
2016-04-15,15.0
2016-04-16,19.0
2016-04-18,1.0
2016-04-19,1.0
2016-04-20,20.0
2016-04-21,-1.0
2016-04-22,-9.0
2016-04-23,9.0
2016-04-25,19.0
2016-04-26,-3.0
2016-04-27,-21.0
2016-04-28,2.0
2016-04-30,-39.0
2016-05-02,-1.0
2016-05-06,-4.0
2016-05-07,23.0
2016-05-09,-21.0
2016-05-10,3.0
2016-05-11,-16.0
2016-05-12,2.0
2016-05-13,16.0
2016-05-14,29.0
2016-05-16,2.0
2016-05-17,-6.0
2016-05-18,25.0
2016-05-19,-11.0
2016-05-20,37.0
2016-05-21,-3.0
2016-05-23,-1.0
2016-05-24,14.0
2016-05-25,9.0
2016-05-26,-4.0
2016-05-27,-15.0
2016-05-28,-21.0
2016-05-30,6.0
2016-05-31,5.0
2016-06-01,-10.0
2016-06-02,4.0
2016-06-03,-4.0
2016-06-04,-10.0
2016-06-06,-1.0
2016-06-07,-8.0
2016-06-08,2.0
2016-06-09,1.0
2016-06-10,13.0
2016-06-11,26.0
2016-06-13,-1.0
2016-06-14,0.0
2016-06-15,5.0
2016-06-16,-3.0
2016-06-17,-4.0
2016-06-18,1.0
2016-06-20,1.0
2016-06-21,2.0
2016-06-22,-21.0
2016-06-23,18.0
2016-06-24,-4.0
2016-06-25,-9.0
2016-06-27,16.0
2016-06-28,1.0
2016-06-29,1.0
2016-06-30,9.0
2016-07-01,15.0
2016-07-02,-9.0
2016-07-04,10.0
2016-07-05,2.0
2016-07-06,5.0
2016-07-07,-23.0
2016-07-08,-10.0
2016-07-09,-11.0
2016-07-11,-12.0
2016-07-12,2.0
2016-07-13,-8.0
2016-07-14,-11.0
2016-07-15,-10.0
2016-07-16,3.0
2016-07-19,-5.0
2016-07-20,21.0
2016-07-21,7.0
2016-07-22,25.0
2016-07-23,-5.0
2016-07-25,-24.0
2016-07-26,3.0
2016-07-27,-2.0
2016-07-28,1.0
2016-07-29,11.0
2016-07-30,-30.0
2016-08-01,-15.0
2016-08-02,-4.0
2016-08-03,-18.0
2016-08-04,-2.0
2016-08-05,-9.0
2016-08-06,3.0
2016-08-08,14.0
2016-08-09,-1.0
2016-08-10,31.0
2016-08-11,-24.0
